id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4.72349E+15,L9QY5p0mr,6115387781,阴山游牧李-君-辉,#李君辉##国际#《哈萨克斯坦》（李君辉/微博：阴山游牧李-君-辉）哈萨克斯坦是围绕中俄的中亚西亚地缘政治的国家，世界上经济发达的国家很多，哈萨克斯坦经济发展的好对世界不会产生什么影响，内乱就会产生很大影响，说明内乱对世界的作用比发展经济的作用更大。只要是围绕中国或者是围绕俄罗斯或者是围绕中俄的地缘政治国家，都应该国内稳定大于经济发展。,,,,"李君辉,国际",0,0,0,2022/1/8 21:56,,,,
4.72331E+15,L9Mhu5cVE,7718162155,昭阳心理,"公司与美国在线心理健康平台DoneGlobal达成战略合作,在国际心理健康赛道上又多了【昭阳】品牌的身影为促进更高水平的精神心理服务，我们会继续再接再厉，作出更好的成绩#昭阳心理##精神心理##国际##合作##粉条投放凡尔赛#@微博企业商业客服O昭阳医生＆DoneGlobal合作|整合中美心理诊疗，促进高水平国际服务",,,微博企业商业客服,"昭阳心理,精神心理,国际,合作,粉条投放凡尔赛",0,0,0,2022/1/8 10:00,微博 weibo.com,,,
4.72328E+15,L9LHI5bNW,6270098657,蛛网搜奇趣,蛛网搜奇趣据俄罗斯卫星通讯社报道，当地时间7日上午，哈萨克斯坦总统托卡耶夫表示：国内秩序已基本恢复，必须采取反恐行动#国际##潜龙爆料幽默话题##蛛网搜奇趣##杭州##我的大余杭#L蛛网搜奇趣的微博视频,,,,"国际,潜龙爆料幽默话题,蛛网搜奇趣,杭州,我的大余杭",0,1,2,2022/1/8 8:32,蛛网搜奇趣超话,,"http://f.video.weibocdn.com/u0/gmgQp4uugx07SNeuk5gA010412003E6Y0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1665149777&ssig=aQSbLWhjcG&KID=unistore,video",
4.72311E+15,L9HeymkYA,7720446497,故事的主人公噢,2021年最后一个月，印度密集试射7款新武器连续两天发射同一型导弹，这国对等回击！#国际#军事#印度#武器#导弹#印度试射L故事的主人公噢的微博视频,,,,"国际,印度,导弹",0,0,0,2022/1/7 21:09,微博视频号,,"http://f.video.weibocdn.com/o0/002WEO6dlx07SMtA5KcU010412003qQz0E010.mp4?label=mp4_hd&template=540x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665149791&ssig=bSDgnOpNb4&KID=unistore,video",
4.7231E+15,L9GYxbgn2,6525372192,只等醋王在辉煌,我发布了：萨达姆孙子#国际#中国基建#集结吧光合创作者##快手#@快手L小维づ中国红的快手视频,,,快手,"国际 ,集结吧光合创作者 ,快手",0,0,0,2022/1/7 20:30,快手,,http://www.kuaishou.com/rest/kd/partner/weibo/linkcard/video?p=3xkyqy6ekursads&a=3xh5rawt742pfny&f=3xh5rawt742pfny&kpn=KUAISHOU&subBiz=BROWSE_SLIDE_PHOTO&shareChannel=weibo&shareMethod=card&shareObjectId=5219672029072901983&shareResourceType=PHOTO_SELF&shareToken=XaZisx73idWPViz,
4.72306E+15,L9FNyADeo,3786134331,应天乐活,#国际##哈萨克斯坦#哈萨克斯坦总统：可无需警告向恐怖分子开火。俄罗斯卫星通讯社7日报道称，哈萨克斯坦总统托卡耶夫下令向恐怖分子开火，无需任何警告。,,,,"国际,哈萨克斯坦",0,2,2,2022/1/7 17:30,HUAWEI P40 5G,['https://wx4.sinaimg.cn/large/e1abd33bly1gy58m4frq0j20h80b3q9v.jpg'],,
4.723E+15,L9EdAfp9D,2558010341,時光古典,俄罗斯维和力量的先锋部队已经抵达#哈萨克斯坦##国际#L時光古典的微博视频,,,,"哈萨克斯坦,国际",0,1,0,2022/1/7 13:29,微博视频号,,"http://f.video.weibocdn.com/u0/gctrfyCHgx07SLXXEJnW01041200ePz90E010.mp4?label=mp4_hd&template=640x368.25.0&trans_finger=62b30a3f061b162e421008955c73f536&ori=0&ps=1BVp4ysnknHVZu&Expires=1665149791&ssig=w1a6mxj5Rs&KID=unistore,video",
4.72297E+15,L9DxBukzt,1880163944,若希欧美升学指导,?1.7｜一切随喜?今日份「若希留学-早报快讯」来啦??看看今天有哪些最新的欧美留学和海外工作生活资讯?#国际##国际资讯##涨知识##科技##互联网##元宇宙##美国##美国留学##纽约#,,,,"国际,国际资讯,涨知识,科技,互联网,元宇宙,美国,美国留学,纽约",0,0,1,2022/1/7 11:45,,['https://wx3.sinaimg.cn/large/70110668gy1gy4ymejq6ij20mi3x41kx.jpg'],,
4.72295E+15,L9D9gt0la,6115387781,阴山游牧李-君-辉,#李君辉##国际#《历史霸权主义》（李君辉/微博：阴山游牧李-君-辉）仁义就是利己利他，表现出来的就是看破不说破，说破变成跟不说效果一样。能而示之不能，用而示之不用，远而示之近，近而示之远，这是保密措施，可以在被外界设定国际事情分析错误的基础上再把国际事情分析正确。仁义在行动上的表现就是对错法，对错是不固定的，可能对，也可能对错对，还可能对错对错对等等，当出现一个对时就固定住，就是成功了，这就可以把事情当做历史，用看历史的效果去看事情。,,,,"李君辉,国际",0,0,0,2022/1/7 10:45,,,,
4.72294E+15,L9CJWfwtK,2564504215,爱我大兴社区网,#发展##国际##医药#【大兴发展】太好了！又一国际领先医药企业落户大兴！O【大兴发展】太好了！又一国际领先医药企业落户大兴！#爱我大兴社区网#近日，国际创新小分子靶向药领军企业北京鞍石生物科技有限责任公司（以下简称“鞍石生物”）与北京中日创新合作示范区（以下简称“中日示范区”）达成合作协议，目前已完成注册变更，正式落户大兴。@工人日报@新京报@北京晚报,,,"工人日报,新京报,北京晚报","发展,国际,医药,爱我大兴社区网",0,1,0,2022/1/7 9:43,微博 weibo.com,['https://wx1.sinaimg.cn/large/98db3a97ly1gy4v4qltbkj20dc26110n.jpg'],,
4.72293E+15,L9CujxzCg,3261979435,全球趣资讯,美国女子卖臭屁狂赚127万，却为何住进了医院？一起来看看吧！更多全球新鲜有趣好玩的人和事儿，请关注公众号【全球趣资讯】呀！#国际##奇闻趣事##互联网创业#,,,,"国际,奇闻趣事,互联网创业",0,1,1,2022/1/7 9:04,新版微博 weibo.com,['https://wx1.sinaimg.cn/large/c26ddb2bly1gy4tzt0cbcj20u089m7wi.jpg'],,
4.72292E+15,L9CiW09tC,6115387781,阴山游牧李-君-辉,#李君辉##国际#写一篇历史霸权主义。主要讲解在被外界设定国际事情分析错误的基础上再把国际事情分析正确。,,,,"李君辉,国际",0,0,0,2022/1/7 8:36,,,,
4.72275E+15,L9xWuvqGQ,6015840990,波水一味,[福到了][福到了][福到了]放生即是积最大的[迎福运][迎福运]福[迎福运]，行最大的善。O网页链接#世界##中国##社会##旅游##健康##新鲜事##教育##宗教##养生##舞蹈##公益##大力士##举重##同城##同城##全运会##种草##电影##放映厅##明星##搞笑##情感##社会##电视剧##美食##国际##财经##读书##摄影##汽车##美女##体育##数码##综艺##时尚##星座##军事##股市##房产##家居##萌宠##科技##科普##动漫##运动健身##旅游##瘦身##历史##艺术##美妆##法律##设计##健康##新鲜事##音乐##游戏##新时代##校园##收藏##政务##养生##育儿##宗教##抽奖##国学##教育##婚恋##舞蹈##电竞##公益##问答##三农#,,,,"世界,中国,社会,旅游,健康,新鲜事,教育,宗教,养生,舞蹈,公益,大力士,举重,同城,全运会,种草,电影,放映厅,明星,搞笑,情感,电视剧,美食,国际,财经,读书,摄影,汽车,美女,体育,数码,综艺,时尚,星座,军事,房产,家居,萌宠,科技,科普,动漫,运动健身,瘦身,历史,艺术,美妆,法律,设计,音乐,游戏,新时代,校园,收藏,政务,育儿,抽奖,国学,婚恋,电竞,问答,三农",0,1,2,2022/1/6 21:30,微博视频号,,,
4.72275E+15,L9xW8FBbe,6115387781,阴山游牧李-君-辉,#李君辉##国际#《印太地区》（李君辉/微博：阴山游牧李-君-辉）印太地区是从印度到澳大利亚再到日本的地区，印太地区的国家再加上美国和加拿大。两国集团是澳大利亚和日本，三国集团是澳大利亚、英国和美国，四国集团是澳大利亚、美国、日本和印度，五国集团是澳大利亚、英国、美国、加拿大和新西兰。四国集团和两国集团是重复的，三国集团和五国集团是重复的，印太地区各国组织重复的多，机会也会增加，对台湾是增加了方便，对中国的发展没有多大影响。印度跟中国有边境地区的争议，澳大利亚跟中国有贸易上争议，印度和澳大利亚在用词上争议词语会使用的多一些。日本和韩国跟中国没有争议，在用词上会温和词语会使用的多一些。印度在跟中国的竞争中从美国和俄罗斯那里获取好处，澳大利亚在跟中国的竞争中从美国英国日本那里获取好处，日本在美国跟中国的竞争中从美国和中国那里获取好处。,,,,"李君辉,国际",0,0,0,2022/1/6 21:29,,,,
4.72267E+15,L9vNkrtp9,3454068732,西安微博热搜,邻国多地进入紧急状态，俄媒担忧或重现乌克兰危机，敏感时刻俄罗斯紧急发声敲打谁？#美国##俄罗斯##军事##国际#L西安微博热搜的微博视频,,,,"美国,俄罗斯,军事,国际",0,1,1,2022/1/6 16:02,微博视频号,,"http://f.video.weibocdn.com/o0/XWgkEP5elx07SKxBNaEw010412004vXF0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1665149801&ssig=z4wrUKIOrF&KID=unistore,video",
4.72264E+15,L9uTpuiim,7602741247,一枝真秀,拜登：连我妻子都吐槽肉太贵！#美国#海外#国际#新闻L一枝真秀的微博视频,,,,"美国,国际",0,1,0,2022/1/6 13:44,微博视频号,,"http://f.video.weibocdn.com/o0/27iBwYQblx07SKo92l9C010412006CkS0E010.mp4?label=mp4_720p&template=576x1024.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1665149801&ssig=NMx8LVp65T&KID=unistore,video",
4.72263E+15,L9uOwgAcs,2558010341,時光古典,??｜白宮發言人普薩基1月5日表示美國沒有在哈薩克斯坦抗議活動中扮演角色，是一些“瘋狂的俄羅斯人”發佈的虛假消息。#国际##哈萨克斯坦##美国#O网页链接,,柳州·富丽嘉园,,"国际,哈萨克斯坦,美国",0,2,1,2022/1/6 13:32,iPhone客户端,,,
4.72263E+15,L9uK2ee4i,5999164154,新旅界,发布了头条文章：《年度回顾|2021国际旅游大事件盘点：东京梦陨旅客“上天”》#年度回顾##旅游大事件##国际#O年度回顾|2021国际旅游大事件盘点：东京梦陨旅客“上天”,http://t.cn/A6J27Jth,,,"年度回顾,旅游大事件,国际",0,0,0,2022/1/6 13:21,微博 weibo.com,,,
4.72263E+15,L9uEB60BV,2558010341,時光古典,颜色革命哈萨克斯坦#国际##哈萨克斯坦##政治##俄罗斯#L時光古典的微博视频,,柳州·富丽嘉园,,"国际,哈萨克斯坦,政治,俄罗斯",0,1,0,2022/1/6 13:08,iPhone客户端,,"http://f.video.weibocdn.com/u0/bJz7i0PHgx07SKlEbH5e01041200Etbo0E010.mp4?label=mp4_720p&template=968x544.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1665149801&ssig=Tg5RxeALs%2F&KID=unistore,video",
4.72262E+15,L9uved2K8,1880163944,若希欧美升学指导,【2021年丰田汽车摘全美销售桂冠，打破通用近一个世纪垄断！】自1931年起，通用汽车（GeneralMotors）一直占据着全美汽车年度销量的榜首。直到2021年，丰田汽车终于打破了这一垄断。它同时成为首个摘得全美销量桂冠的外国汽车制造商。1月4日，通用公司公布了其2021年在美国市场的年度销量，为220万辆，比此前一年下降了12.9%。早前丰田汽车公布的2021年年度销量为230万辆，比此前一年增长10.4%。这是通用汽车在1931年超过福特，登顶全美销量榜首后，首次被其他汽车制造商超越。#国际##国际资讯##丰田##涨姿势##美国##美国留学##美国生活#,,,,"国际,国际资讯,丰田,涨姿势,美国,美国留学,美国生活",0,0,0,2022/1/6 12:45,,['https://wx2.sinaimg.cn/large/70110668gy1gy3uqrrkwlj20mi0qggsa.jpg'],,
4.72258E+15,L9twnE1gM,1738597333,博闻视点,CNN追问是否保卫台湾？布林肯避谈是否出兵守岛##国际#外交#新闻#军事#美国#中国L看看新闻Knews的优酷视频,,,,"外交 ,军事 ",4,5,7,2022/1/6 10:15,很棒的超话,,http:https://api.youku.com/videos/player/file?data=WcEl5oUuZd3hOamcxTkRVMU1nPT18MHwxfDEwMDUwfDAO0O0O,
